Label,Statement
1,"['say', 'anni', 'list', 'polit', 'group', 'support', 'trimest', 'abort', 'demand']"
5,"['declin', 'coal', 'start', 'start', 'natur', 'take', 'start', 'begin', 'presid', 'georg', 'bush', 'administr']"
5,"['hillari', 'clinton', 'agre', 'john', 'mccain', 'vote', 'georg', 'bush', 'benefit', 'doubt', 'iran']"
1,"['health', 'care', 'reform', 'legisl', 'like', 'mandat', 'free', 'chang', 'surgeri']"
5,"['econom', 'turnaround', 'start', 'term']"
5,"['chicago', 'bear', 'start', 'quarterback', 'year', 'total', 'number', 'tenur', 'faculti', 'fire', 'decad']"
1,"['dunnam', 'live', 'district', 'repres', 'year']"
5,"['person', 'stage', 'work', 'activ', 'year', 'pass', 'russ', 'feingold', 'toughest', 'ethic', 'reform', 'waterg']"
5,"['take', 'million', 'oregon', 'lotteri', 'fund', 'port', 'newport', 'eventu', 'land', 'noaa', 'marin', 'oper', 'center', 'pacif']"
5,"['say', 'primari', 'oppon', 'glenn', 'grothman', 'leibham', 'cast', 'compromis', 'vote', 'cost', 'million', 'higher', 'electr', 'cost']"
5,"['time', 'histori', 'share', 'nation', 'popular', 'vote', 'margin', 'smaller', 'latino', 'vote', 'margin']"
5,"['near', 'million', 'american', 'slip', 'middl', 'class', 'poverti']"
1,"['mitt', 'romney', 'governor', 'massachusett', 'didnt', 'slow', 'rate', 'growth', 'govern', 'actual']"
5,"['economi', 'bleed', 'billion', 'govern', 'shutdown']"
1,"['afford', 'care', 'sens', 'waiv', 'suspend']"
5,"['elect', 'novemb', 'percent', 'american', 'peopl', 'choos', 'vote', 'percent', 'young', 'peopl', 'percent', 'incom', 'worker', 'choos', 'vote']"
5,"['mccain', 'oppos', 'requir', 'govern', 'american', 'motorcycl', 'say', 'american', 'provis', 'quot', 'disgrac']"
1,"['kind', 'fellow', 'democrat', 'go', 'spend', 'spree', 'credit', 'card', 'max']"
5,"['water', 'rat', 'manila', 'philippin', 'rais', 'percent', 'subsidiari', 'world', 'bank', 'partial', 'owner']"
5,"['peopl', 'leav', 'puerto', 'rico', 'year']"
1,"['women', 'make', 'adjust', 'inflat', 'john', 'kitzhab', 'elect', 'governor']"
5,"['unit', 'state', 'highest', 'corpor', 'rate', 'free', 'world']"
5,"['best', 'year', 'auto', 'industri', 'america', 'histori']"
5,"['say', 'scott', 'walker', 'favor', 'cut', 'famili', 'children', 'health', 'care']"
1,"['say', 'mitt', 'romney', 'want', 'plan', 'parenthood']"
1,"['dont', 'know', 'jonathan', 'gruber']"
5,"['hate', 'crime', 'american', 'muslim', 'mosqu', 'tripl', 'pari', 'bernardino']"
5,"['rick', 'perri', 'lose', 'elect', 'remain', 'person', 'texa', 'governorship', 'time', 'landslid', 'elect']"
1,"['isi', 'support', 'tweet', 'shoot', 'begin', 'chattanooga', 'tenn']"
5,"['youth', 'unemploy', 'minor', 'communiti', 'percent']"
5,"['say', 'paul', 'ryan', 'endors', 'trump']"
1,"['look', 'state', 'right', 'work', 'constant', 'budget', 'deficit', 'good', 'busi', 'climat']"
1,"['obama', 'administr', 'go', 'come', 'month', 'your', 'go', 'abl', 'burn', 'coal', 'limit', 'exist', 'plant']"
5,"['busi', 'tax', 'today', 'percent', 'busi', 'dont', 'busi']"
5,"['say', 'mark', 'pryor', 'vote', 'obama', 'percent', 'time']"
5,"['feder', 'govern', 'think', 'author', 'regul', 'toilet', 'seat']"
5,"['austin', 'citi', 'basic', 'doubl', 'size', 'year', 'found']"
5,"['nuclear', 'test', 'conduct', 'nation', 'time', 'earth', 'nuclear', 'test', 'perman', 'member', 'secur', 'council', 'conduct', 'percent', 'total', 'nuclear', 'test']"
1,"['case', 'catastroph', 'event', 'atlanta', 'area', 'offic', 'center', 'diseas', 'control', 'prevent', 'self', 'destruct']"
